id_author,latitude,longitude,active_start_year
ART18853907,44.4056,8.9463,2018.0
ART64265460,44.1024,9.8241,2020.0
ART19605256,45.0703,7.6869,2017.0
ART02666525,40.9146,14.7906,2016.0
ART03111237,41.9028,12.4964,1990.0
ART28846313,45.4642,9.19,1994.0
ART63985757,45.4642,9.19,1997.0
ART04141409,45.4642,9.19,1997.0
ART07469279,38.1157,13.3615,2004.0
ART62385172,45.4642,9.19,2007.0
ART42220690,40.8518,14.2681,1991.0
ART87389753,41.0503,16.8833,2015.0
ART56967402,44.1024,9.8241,2013.0
ART64850829,45.4642,9.19,2015.0
ART41225226,40.6824,14.7681,2010.0
ART71515715,18.4861,-69.9312,2012.0
ART53496045,45.4424977,10.9857377,2012.0
ART24123617,45.528878,9.04156,1993.0
ART40229749,45.0806268,7.6707168,2007.0
ART56320683,45.4641943,9.1896346,1988.0
ART27304446,40.222125,18.225226,1996.0
ART70825116,40.4194416,15.3106085,2016.0
ART67409252,44.4194958,8.9234821,2018.0
ART71969350,40.9965446,15.140569,2003.0
ART78209349,40.7472133,14.6433202,2002.0
ART46851094,44.238366,9.6912326,2011.0
ART14383873,45.4641943,9.1896346,1993.0
ART09119396,44.4938203,11.3426327,2015.0
ART86549066,45.6139627,9.37006,2006.0
ART57616402,45.0957237,7.5254027,2002.0
ART19729064,45.4641943,9.1896346,2003.0
ART76284946,45.4641943,9.1896346,2011.0
ART25707984,43.7149517,13.2179488,1996.0
ART07024718,45.4641943,9.1896346,2006.0
ART46711784,45.7795804,10.425873,2006.0
ART31005348,45.0677551,7.6824892,1991.0
ART52465778,45.0677551,7.6824892,2007.0
ART85046033,41.8933203,12.4829321,2003.0
ART87162895,40.8358846,14.2487679,2018.0
ART83125571,45.4641943,9.1896346,2011.0
ART73965015,40.9965446,15.140569,1996.0
ART79325822,45.4641943,9.1896346,1996.0
ART91515842,40.9232659,9.5027442,2011.0
ART08177154,41.8933203,12.4829321,2015.0
ART57730937,41.8933203,12.4829321,1996.0
ART17812958,45.4641943,9.1896346,1990.0
ART80977821,45.4641943,9.1896346,2000.0
ART88792008,45.4641943,9.1896346,1999.0
ART88423027,43.7697955,11.2556404,1995.0
ART39344115,40.8999881,14.2410519,2012.0
ART05528539,40.8358846,14.2487679,2010.0
ART20729624,45.6348591,11.4063543,2018.0
ART40433104,40.5361927,17.4342206,2006.0
ART16868977,45.4641943,9.1896346,2012.0
ART61734477,45.6348591,11.4063543,2009.0
ART02733420,37.747452,14.397271,1999.0
ART63613967,45.6598951,8.7932013,2011.0
ART48537029,45.8066913,12.2063158,2001.0
ART91352277,45.4641943,9.1896346,2004.0
ART71846481,45.4694851,10.5389467,2011.0
ART86576759,42.9525328,13.8807144,2013.0
ART52272796,40.7499887,14.5269491,1988.0
ART07629990,43.7149517,13.2179488,1990.0
ART19060721,45.4641943,9.1896346,2021.0
ART78358659,45.6348591,11.4063543,2007.0
ART07127070,41.8933203,12.4829321,1996.0
ART12092805,45.3559126,9.2020722,2020.0
ART66932389,41.8933203,12.4829321,1994.0
ART08456301,41.8933203,12.4829321,2004.0
ART89596800,45.4641943,9.1896346,2012.0
ART17240256,40.4194416,15.3106085,2009.0
ART08302616,45.4782003,9.123964,2020.0
ART04205421,45.068046,7.57762,2015.0
ART74676403,45.4641943,9.1896346,2010.0
ART02449272,45.2613104,9.4916781,2016.0
ART48622722,40.9232659,9.5027442,1997.0
ART87497821,45.5357218,9.2376549,2011.0
ART98307962,44.8037407,10.1430038,2001.0
ART26418649,45.0677551,7.6824892,2005.0
ART28717687,40.9232659,9.5027442,2012.0
ART85780419,44.40726,8.9338624,2012.0
ART88026810,41.7712145,12.2278855,2015.0
ART51721248,45.391408,11.8058487,2017.0
ART57242110,41.8933203,12.4829321,2019.0
ART98118784,38.1035389,15.6397556,1993.0
ART15560128,39.2171994,9.113311,2001.0
ART57587384,45.0677551,7.6824892,2004.0
ART83631935,40.8358846,14.2487679,2014.0
