id,id_artist,num_samples,sr,duration_ms,bpm,centroid_mean,centroid_std,rolloff_mean,rolloff_std,flux_mean,flux_std,rms_mean,rms_std,zcr_mean,zcr_std,flatness_mean,flatness_std,spectral_complexity_mean,spectral_complexity_std,pitch_mean,pitch_std,loudness_mean,loudness_std,silence_start_sec,silence_end_sec,silence_middle_total_sec,silence_middle_count,silence_middle_mean_sec,is_silent
TR597348,ART25707984,5209089,22050,236239.86394557822,103.359375,1848.4146419965525,568.8260419797531,3673.5083715640358,1572.2047758565616,1.8687936,1.6797049,0.23188205,0.09516897,0.07867307470823096,0.044399932326326136,0.008160612,0.033699267,2213.814011680665,411.6160097143482,167.3109638491438,89.48473482958073,-8.652038,6.672208,0.28,2.51,9.75,63,0.15,False
TR745549,ART07024718,4191233,22050,190078.5941043084,92.28515625,3149.761209106852,947.5102866434038,6740.413351817287,1583.4949134687067,1.4388834,1.1734507,0.21165414,0.09080922,0.15118528230731648,0.0844913933108297,0.07514642,0.116469935,2882.9889823869444,451.53586025849444,107.7362053512081,83.45663547224127,-7.844501,10.776189,0.7,5.36,5.62,22,0.26,False
TR324941,ART25707984,5180929,22050,234962.7664399093,161.4990234375,2611.5075378172587,865.7664117722004,5765.5566285627165,1758.2196424328743,1.6200099,1.6851287,0.12663509,0.058099452,0.11174519052618577,0.06282164821110647,0.0488186,0.12994385,2665.1837137308466,544.7137121805163,154.34609669247712,116.42457161646348,-9.529303,11.598136,0.67,7.85,8.99,50,0.18,False
TR496653,ART07024718,4821130,22050,218645.35147392293,92.28515625,2095.548019815926,1073.5606066935325,4834.615695123347,2436.2102395841475,1.2652555,1.2944472,0.24098176,0.128493,0.0730239983208559,0.05666333246661474,0.05921529,0.20266677,2436.258817260624,925.90303023153,124.67904223325868,121.52479714627326,-13.161711,16.758081,0.49,9.94,8.71,50,0.17,False
TR910855,ART25707984,4372368,22050,198293.3333333333,184.5703125,2820.269972471521,974.6123588365302,6151.250700403432,1776.8671663305,1.7428087,1.71325,0.2393618,0.11247109,0.11965898071574942,0.07950582493407955,0.03598413,0.044357892,2778.6218733943965,492.5713754825164,144.05263911734286,93.21254052363703,-8.4867735,9.887979,0.07,0.48,15.67,20,0.78,False
TR686371,ART25707984,5472001,22050,248163.3106575964,107.666015625,2437.7430484997985,1049.0614797000555,5470.30696983109,2097.687095251907,1.8288486,2.0322607,0.06925703,0.03826824,0.09901263756666355,0.07606050121906067,0.037813254,0.09048398,2582.4215904219195,666.6030724636865,128.83824593470038,92.25933694628571,-9.49217,7.977876,0.72,1.2,6.64,88,0.08,False
TR944243,ART07024718,4631553,22050,210047.7551020408,92.28515625,2537.6364264897934,1060.5126221010605,5415.787427591674,2101.1434766908083,1.5611576,1.5929489,0.24492732,0.08200528,0.11678346844948602,0.07741431080888232,0.034969628,0.07090446,2549.827199226999,633.4585355521109,140.3480437738727,109.82878725588209,-6.0245395,6.164553,0.44,1.63,1.42,6,0.24,False
TR808663,ART07024718,5263617,22050,238712.78911564624,89.10290948275862,2300.2767806838146,1077.799247471994,4887.27262934965,2095.991451326359,1.8751968,2.1131992,0.106649145,0.049964253,0.0919109545216905,0.08249687565408484,0.02586952,0.041799165,2489.0266038186896,537.0342450310983,114.16847116067675,70.81760545630489,-8.000886,6.271071,0.19,1.03,2.86,27,0.11,False
TR475897,ART25707984,4829185,22050,219010.6575963719,161.4990234375,2860.1003007053237,1127.1288980786637,6344.145495906989,1928.1385943513012,1.9586593,2.2324328,0.17425734,0.10062724,0.11165614771612954,0.0891193125594652,0.034384347,0.04670702,2861.5228582319774,510.9589219312756,143.8423152736964,93.33978287720858,-10.898841,7.8589783,0.16,0.44,16.93,150,0.11,False
TR735029,ART25707984,5775617,22050,261932.74376417237,99.38401442307692,2331.9007829461507,714.4448713044582,5417.7527609683875,1547.1496371624592,1.7550136,2.0885897,0.24458112,0.11552087,0.08411933297690807,0.04577508693374834,0.02115736,0.031411763,2659.2301370036485,469.5043093357169,108.82505247253745,99.79982111199367,-8.078473,6.833133,0.26,0.0,11.56,61,0.19,False
TR788528,ART07024718,3023790,22050,137133.3333333333,172.265625,2119.829976168027,1084.0513128482175,4829.825270381815,2346.355353759705,1.3265281,1.5734729,0.30046508,0.15302147,0.06538338924398916,0.06161134823596094,0.0155664245,0.049391493,2466.10267858033,736.6147706678,153.13328436741483,119.11458703114567,-8.466489,12.512796,0.19,8.22,5.8,15,0.39,False
TR831827,ART25707984,6953217,22050,315338.6394557823,89.10290948275862,2848.1572045989083,996.4634676509182,6197.134089991302,1589.3150264029216,1.7217805,1.9604042,0.24609055,0.13356626,0.131716464810673,0.09214033310632067,0.04823506,0.056974426,2794.7793268640794,380.68798288347415,130.9079640668459,91.02151460510427,-9.221471,6.4423532,1.86,5.17,5.87,78,0.08,False
TR273414,ART25707984,5360796,22050,243120.0,123.046875,1926.0724684131665,1091.1563158671497,4384.989732617169,2572.935786799982,1.6576122,1.9878631,0.25535032,0.123511784,0.05243975548538821,0.0547722366877455,0.012808085,0.03423353,2364.6816410528145,806.0517570765218,96.74635739024305,67.66462101277028,-10.346212,13.41489,9.98,4.12,17.28,55,0.31,False
TR946148,ART07024718,6249217,22050,283411.201814059,123.046875,2577.696912929803,1136.5699933935475,5693.546676823258,2335.2654196836415,1.2768437,1.2152702,0.19765162,0.11798093,0.10635650499754219,0.08179567952839949,0.031867106,0.05554397,2644.306328763625,728.0371740468037,108.73472848017046,89.87855780822056,-13.371595,9.591078,0.21,0.15,38.17,66,0.58,False
TR148805,ART25707984,5030145,22050,228124.48979591837,129.19921875,2645.950616342566,1056.0510323716767,5651.582575441317,2015.4092838957029,1.7413406,1.7157118,0.07640046,0.044062532,0.12002305979643765,0.07664218281741558,0.03313914,0.04334837,2564.572762729817,611.9907360015935,184.94529107536212,108.08417385101752,-10.086743,8.948701,17.14,0.06,1.72,43,0.04,False
TR705159,ART25707984,5839805,22050,264843.7641723356,129.19921875,2376.1778997617203,1046.4437960895493,5141.892354404343,2158.1903598884537,1.7740821,2.1371264,0.20755656,0.08217508,0.08671602733758547,0.06775180264824252,0.02307556,0.036217563,2503.03082897038,668.2463986133774,97.66270094240879,63.65196564295425,-7.5772567,7.6731033,0.07,1.25,13.65,30,0.46,False
TR903036,ART25707984,6829569,22050,309731.02040816325,99.38401442307692,3019.9676556029153,971.7905112847834,6103.39110962097,1697.5376663562095,1.4539174,1.5091738,0.059236348,0.03545338,0.16338512872470015,0.10294120855939533,0.06259948,0.067641996,2697.5255351808482,424.4158070105551,145.59467264837627,109.04396709794855,-11.152323,13.594208,0.7,20.53,29.02,74,0.39,False
TR402241,ART25707984,2727936,22050,123715.91836734694,123.046875,2831.0656654488726,651.7383536254271,6215.018226478936,1071.7883087833416,1.4519395,1.1570665,0.13168094,0.047946844,0.12428237591480577,0.059252624358329176,0.021868967,0.047076423,2761.70001373788,286.81036565751344,174.02893954450786,121.69764402125077,-8.250379,5.616131,0.28,0.0,2.51,24,0.1,False
TR943904,ART07024718,3235764,22050,146746.66666666666,103.359375,2394.0867056164993,1236.4143353512636,5268.2548735413375,2519.810749830211,1.708595,2.044109,0.24348046,0.115483396,0.08537188179885284,0.07563607969059277,0.02584463,0.05989259,2593.9414174357275,750.6145739859916,126.21693914607701,123.79886226088776,-9.865379,11.783318,4.99,4.99,5.13,7,0.73,False
