id,id_artist,num_samples,sr,centroid,rolloff,flux,rms,zcr,spectral_bw
TR597348,ART25707984,1323000,22050,"[1582.186221   1683.8096258  1699.63657403 ... 1331.22354039 1547.81564721
 1656.44802154]","[3143.84765625 3962.109375   3940.57617188 ... 2228.68652344 2551.68457031
 2734.71679688]",[0.        0.        0.        ... 2.3718672 2.5250173 1.4649715],[0.14758289 0.1924217  0.23539154 ... 0.35462698 0.36063322 0.28094044],[0.02490234 0.03955078 0.05224609 ... 0.06884766 0.06005859 0.04589844],"[2275.86545237 2303.02698548 2240.51213498 ... 2117.42485078 1968.85639262
 1972.737057  ]"
TR745549,ART07024718,1323000,22050,"[2967.95460819 3040.6908445  3087.25479066 ... 6338.8143069  6448.19725937
 6346.74825675]","[6998.29101562 7159.79003906 7213.62304688 ... 9722.24121094 9797.60742188
 9722.24121094]",[0.         0.         0.         ... 2.6443536  2.2729974  0.54770005],[0.1617024  0.18224438 0.19804327 ... 0.13194962 0.130414   0.10558663],[0.07714844 0.12158203 0.15087891 ... 0.5078125  0.57470703 0.42919922],"[3006.70259664 3045.15848809 3041.41799905 ... 3014.46656729 3026.95809465
 3028.83197843]"
TR324941,ART25707984,1323000,22050,"[2287.18823947 2741.51550743 2822.64725628 ... 2122.8565977  2197.03373086
 2286.79056478]","[5641.69921875 6481.49414062 6083.12988281 ... 4780.37109375 4597.33886719
 5006.46972656]",[0.        0.        0.        ... 4.855778  2.8448775 1.601239 ],[0.00334541 0.03581214 0.11221395 ... 0.18016419 0.17219229 0.14118157],[0.04882812 0.08642578 0.10009766 ... 0.08837891 0.08447266 0.06396484],"[2631.52367223 2874.43519969 2814.72494291 ... 2307.86215248 2315.679683
 2413.67440095]"
TR496653,ART07024718,1323000,22050,"[1511.35496152 1401.57067748 2462.65824657 ... 1923.73704385 2175.1669723
 1853.37469925]","[3639.11132812 3359.1796875  6319.99511719 ... 6341.52832031 6599.92675781
 4855.73730469]",[0.         0.         0.         ... 0.3697129  0.27250248 2.2448015 ],[0.13955994 0.16586518 0.20380785 ... 0.25306094 0.26588982 0.24246025],[0.01025391 0.02001953 0.02832031 ... 0.01904297 0.02978516 0.02734375],"[2752.8983131  2568.41676424 3031.92638217 ... 3018.93825979 2992.17802381
 2617.71864548]"
TR910855,ART25707984,1323000,22050,"[2191.98439234 2624.84766327 3728.03399783 ... 1905.30168413 1720.88810396
 1805.67638094]","[5749.36523438 7568.92089844 9097.77832031 ... 3875.9765625  3649.87792969
 4080.54199219]",[ 0.         0.         0.        ... 12.200921   8.324098   2.8928747],[0.15773934 0.18031211 0.20401101 ... 0.37572724 0.43540877 0.40145814],[0.03662109 0.06591797 0.11376953 ... 0.08935547 0.08154297 0.05566406],"[2888.39471247 3251.24027597 3816.15072347 ... 2393.85787308 2096.99747497
 2138.13100112]"
TR686371,ART25707984,1323000,22050,"[1940.52259497 2084.77008289 2044.38277767 ... 3216.40218906 3796.33051228
 4275.09437835]","[4177.44140625 5071.06933594 4898.80371094 ... 6664.52636719 8268.75
 8925.51269531]",[0.        0.        0.        ... 1.2371061 1.2121098 1.4331862],[0.04470521 0.04761767 0.05145703 ... 0.05663307 0.04279479 0.03256843],[0.04003906 0.05908203 0.09423828 ... 0.16259766 0.22753906 0.19384766],"[2317.80507815 2360.79718466 2313.60535903 ... 2955.59210488 3238.83962033
 3460.81614508]"
TR944243,ART07024718,1323000,22050,"[5381.14921574 3997.14444278 3501.79979001 ... 2489.95893294 2308.6525142
 2072.9139435 ]","[9399.24316406 9076.24511719 8462.54882812 ... 6158.49609375 5964.69726562
 4705.00488281]",[0.        0.        0.        ... 3.895557  1.3442743 0.6566299],[0.24840513 0.3403004  0.36892375 ... 0.29254258 0.2598806  0.20985995],[0.15234375 0.1640625  0.17626953 ... 0.09033203 0.09179688 0.06201172],"[3690.93756576 3809.42378614 3639.41284097 ... 2940.93628172 2660.23893241
 2536.91785296]"
TR808663,ART07024718,1323000,22050,"[2219.50311095 2299.67153926 2479.46215707 ...  883.88564427 1744.83854759
 1882.81593195]","[5673.99902344 5781.66503906 6040.06347656 ... 1248.92578125 4317.40722656
 4112.84179688]",[0.         0.         0.         ... 0.08250538 0.23825963 1.0274987 ],[0.06846238 0.08509094 0.09361879 ... 0.11002438 0.09111598 0.0706142 ],[0.04394531 0.06738281 0.09277344 ... 0.02148438 0.03515625 0.03320312],"[2617.93100039 2608.14706312 2660.60747942 ... 1757.55989457 2461.76359086
 2435.92877188]"
TR475897,ART25707984,1323000,22050,"[1332.45419276 1851.01378331 1680.93341132 ... 2438.89004592 1887.93171
 1699.16416641]","[3240.74707031 4941.87011719 4435.83984375 ... 5630.93261719 4705.00488281
 4844.97070312]",[0.         0.         0.         ... 3.8041563  0.8563441  0.42958322],[0.13597243 0.25895795 0.33282104 ... 0.30719224 0.29015356 0.26054108],[0.02294922 0.03076172 0.04199219 ... 0.08007812 0.06494141 0.03759766],"[2279.73095282 2742.80862233 2606.90514565 ... 2768.91013494 2661.58741238
 2687.08572366]"
TR735029,ART25707984,1323000,22050,"[2041.40139866 1937.92550012 2000.23458407 ... 1995.59104184 1791.83607436
 1699.78453102]","[6438.42773438 5663.23242188 5684.765625   ... 4672.70507812 4952.63671875
 5684.765625  ]",[0.         0.         0.         ... 0.62225235 0.6377928  0.21098556],[0.06750571 0.07923369 0.09040706 ... 0.14605062 0.12065403 0.1083042 ],[0.02099609 0.03173828 0.06201172 ... 0.03613281 0.03417969 0.01416016],"[2992.36336814 2883.69531986 2945.93516336 ... 2554.14181833 2796.94693848
 2919.43239591]"
TR788528,ART07024718,1323000,22050,"[1685.97037165 1766.52429641 1890.71780139 ... 3203.05241807 1955.70406659
 1223.57734093]","[4005.17578125 4295.87402344 5437.13378906 ... 8064.18457031 5620.16601562
 2444.01855469]",[0.        0.        0.        ... 3.5505066 0.7052421 0.3220921],[0.26493317 0.3226539  0.40988675 ... 0.39543828 0.41071597 0.3608936 ],[0.01660156 0.02832031 0.03173828 ... 0.10546875 0.06152344 0.02441406],"[2460.58682116 2621.58647831 2725.92077621 ... 3504.63454557 2912.48795177
 2147.29937437]"
TR831827,ART25707984,1323000,22050,"[1939.02747896 1500.92899157 2117.53262728 ... 1747.90679742 1473.35642618
 1150.72198944]","[4855.73730469 2885.44921875 5684.765625   ... 4349.70703125 2917.74902344
 2260.98632812]",[0.         0.         0.         ... 0.89872044 0.50343895 0.6545301 ],[0.06020079 0.06864632 0.11531007 ... 0.53020775 0.57124084 0.5343989 ],[0.02929688 0.04736328 0.06884766 ... 0.03369141 0.02246094 0.01074219],"[2401.28213901 2137.30602932 2783.93231065 ... 2464.22325273 2341.68083717
 2152.91995707]"
TR273414,ART25707984,1323000,22050,"[1640.21036458 2755.54090209 2493.14363989 ... 3257.81489437 2440.38089416
 1842.00505228]","[4866.50390625 7601.22070312 7364.35546875 ... 6922.92480469 6061.59667969
 4834.20410156]",[0.         0.         0.         ... 5.266224   4.7570467  0.65785575],[0.22221434 0.26967132 0.3126337  ... 0.32138953 0.31668645 0.26844016],[0.015625   0.01806641 0.02001953 ... 0.07373047 0.06152344 0.02978516],"[2751.51865858 3526.27890406 3433.65862602 ... 3020.53128316 2821.00330972
 2559.82825528]"
TR946148,ART07024718,1323000,22050,"[ 765.06824841  568.75390201  535.87414456 ... 1855.35056628 1931.02520508
 1818.93689857]","[1399.65820312  818.26171875  829.02832031 ... 4177.44140625 4392.7734375
 3940.57617188]",[0.         0.         0.         ... 0.67610604 1.5085452  2.6544957 ],[0.08873314 0.10791702 0.12171658 ... 0.27805978 0.26300162 0.222527  ],[0.01123047 0.01464844 0.01953125 ... 0.05810547 0.05126953 0.03857422],"[1360.08913696 1021.64596743  908.61402729 ... 2464.65876487 2479.09580839
 2481.43543822]"
TR148805,ART25707984,1323000,22050,"[1143.15284459 1243.07252642 1211.25032084 ... 3389.42703341 3378.78422479
 3178.32821677]","[2465.55175781 2670.1171875  2573.21777344 ... 6384.59472656 6449.19433594
 6416.89453125]",[0.         0.         0.         ... 0.59992886 0.46292773 0.58924955],[0.0266966  0.03032589 0.03465709 ... 0.06090109 0.04900846 0.03754821],[0.02392578 0.03564453 0.04931641 ... 0.20947266 0.19775391 0.14404297],"[1705.26806539 1760.77785262 1698.49563968 ... 2534.68994962 2517.87029937
 2632.55746076]"
TR705159,ART25707984,1323000,22050,"[1827.4882361  2118.014841   2466.34362062 ... 2451.04709732 1768.195293
 1553.19056527]","[3962.109375   4920.33691406 5361.76757812 ... 5857.03125    3789.84375
 3369.94628906]",[0.        0.        0.        ... 2.30924   0.6279782 0.7303047],[0.16881719 0.193111   0.19985694 ... 0.19016579 0.19030008 0.17078793],[0.05371094 0.08447266 0.10253906 ... 0.04931641 0.02636719 0.01269531],"[2080.68217734 2196.60570885 2360.23802138 ... 2803.13151832 2118.05731497
 2125.80784137]"
